Year,Total Tons,
1960,"434,329,000",
1961,"420,423,000",
1962,"439,043,000",
1963,"477,195,000",
1964,"504,182,000",
1965,"526,954,000",
1966,"546,822,000",
1967,"564,882,000",
1968,"556,706,000",
1969,"570,978,000",
1970,"612,661,000",
1971,"560,919,000",
1972,"602,492,000",
1973,"598,568,000",
1974,"610,023,000",
1975,"654,641,000",
1976,"684,913,000",
1977,"697,205,000",
1978,"670,164,000",
1979,"781,134,000",
1980,"829,700,000",
1981,"823,775,000",
1982,"838,112,000",
1983,"782,091,000",
1984,"895,920,767",
1985,"883,638,117",
1986,"890,314,708",
1987,"918,762,162",
1988,"950,265,278",
1989,"980,728,790",
1990,"1,029,075,527",
1991,"995,983,881",
1992,"997,544,933",
1993,"945,424,286",
1994,"1,033,504,293",
1995,"1,032,973,772",
1996,"1,063,855,513",
1997,"1,089,931,788",
1998,"1,117,535,167",
1999,"1,100,431,428",
2000,"1,073,611,561",
2001,"1,127,688,806",
2002,"1,094,283,061",
2003,"1,071,752,573",
2004,"1,112,098,870",
2005,"1,131,498,099",
2006,"1,162,749,659",
2007,"1,145,567,167",
